State Code,State,Marketed Prod.,Extract. Loss,Balancing Item(a,Net Inter. Movements(b,Net Move. Across U.S.(b,Net Stor. Changes(c,Suppl. Gas Supplies,Consumption
US,,,,,,,,,
AL,Alabama             ,236029,17232,-25416,258787,0,-2099,0,454268
AK,Alaska              ,397077,22925,-1348,0,-30536,0,0,342268
AZ,Arizona             ,712,0,-16637,429004,-44152,0,0,368927
AR,Arkansas            ,679952,168,18737,-455116,0,-784,0,244189
CA,California          ,276575,13722,11409,2168199,-99397,14559,0,2328506
US,,,,,,,,,
CO,Colorado            ,1499070,67607,-77672,-837670,0,3442,7527,520206
CT,Connecticut         ,0,0,-26711,211177,0,164,*,184304
DE,Delaware            ,0,0,11656,38497,0,3,2,50152
DC,District of Columbia,0,0,-1531,33928,0,0,0,32397
FL,Florida             ,257,0,-8866,1063977,0,0,0,1055369
US,,,,,,,,,
GA,Georgia             ,0,0,1664,320932,142244,1972,52,462919
FX,Gulf of Mexico,2428916,0,0,-2324941,0,0,0,103976
HI,Hawaii              ,0,0,161,0,0,0,2447,2607
ID,Idaho               ,0,0,-11789,-596685,693780,387,0,84918
IL,Illinois            ,1443,31,16130,939661,0,11204,20,946019
US,,,,,,,,,
IN,Indiana             ,4927,0,26397,476890,0,1591,*,506623
IA,Iowa                ,0,0,-278,320078,0,4616,3,315186
KS,Kansas              ,354440,26948,-40004,-7158,0,-3685,0,284014
KY,Kentucky            ,113300,3270,10110,91313,0,4938,18,206534
LA,Louisiana,1548607,95359,128754,-418292,70099,46527,0,1187283
US,,,,,,,,,
ME,Maine               ,0,0,-5618,-76407,151816,-33,0,69824
MD,Maryland            ,43,0,2722,128286,72339,6247,170,197313
MA,Massachusetts       ,0,0,-55996,289200,161486,-1221,10,395920
MI,Michigan            ,153736,2334,-126994,1745362,-970021,68275,0,731474
MN,Minnesota           ,0,0,-25363,-277590,697631,585,47,394140
US,,,,,,,,,
MS,Mississippi         ,88157,18354,-30991,339369,0,13798,0,364382
MO,Missouri            ,0,0,36630,228949,0,958,10,264631
MT,Montana             ,98245,1853,1722,-479894,489931,32563,0,75588
NE,Nebraska            ,2908,0,22428,136872,0,-763,18,162989
NV,Nevada              ,4,0,233,274883,0,-76,0,275197
US,,,,,,,,,
NH,New Hampshire       ,0,0,163,27768,32012,9,0,59934
NJ,New Jersey          ,0,0,13334,607559,0,494,454,620853
NM,New Mexico          ,1383004,94840,-13888,-1022239,0,11649,0,240388
NY,New York            ,44849,0,-34764,494519,640119,2573,6,1142156
NC,North Carolina      ,0,0,65771,180003,0,811,0,244962
US,,,,,,,,,
ND,North Dakota        ,59369,10140,8994,-571893,514737,0,53495,54562
OH,Ohio                ,88824,0,-67983,731084,0,13852,522,738596
OK,Oklahoma            ,1857777,112891,76856,-1181875,0,-16789,0,656657
OR,Oregon              ,821,0,31167,216609,0,-181,0,248779
PA,Pennsylvania        ,273869,1295,-27538,583595,0,24660,106,804077
US,,,,,,,,,
RI,Rhode Island        ,0,0,1006,91503,0,-256,0,92765
SC,South Carolina      ,0,0,28282,162275,0,15,0,190542
SD,South Dakota        ,2129,0,6211,57844,0,0,0,66185
TN,Tennessee           ,5478,0,-12656,222803,0,-882,0,216506
TX,Texas               ,6818973,424042,45702,-2823080,-163520,89608,0,3364425
US,,,,,,,,,
UT,Utah                ,444162,8489,-29634,-191583,0,293,0,214163
VT,Vermont             ,0,0,-684,0,9319,0,2,8637
VA,Virginia            ,140738,0,-26240,204117,0,-203,247,319065
WA,Washington          ,0,0,-56050,70066,296986,890,0,310112
WV,West Virginia       ,264436,8786,35187,-175395,0,10167,0,105275
US,,,,,,,,,
WI,Wisconsin           ,0,0,-8004,395050,0,-18,0,387063
WY,Wyoming             ,2335328,93796,14890,-2100342,0,14745,0,141335
US,,,,,,,,,
US,Total,21604158,1024082,-116344,0,2664874,354607,65160,22839158
